"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 03, 2017","84.05","84.05","84.05","84.05","0.25K","1.27%"
"Jan 04, 2017","83.50","83.50","83.50","83.50","0.10K","-0.65%"
"Jan 05, 2017","83.60","83.60","83.60","83.60","0.12K","0.12%"
"Jan 06, 2017","83.05","83.05","83.05","83.05","0.05K","-0.66%"
"Jan 09, 2017","82.45","82.45","82.45","82.45","0.01K","-0.72%"
"Jan 10, 2017","83.85","83.85","83.85","83.85","0.04K","1.70%"
"Jan 11, 2017","85.50","85.50","85.50","85.50","0.04K","1.97%"
"Jan 12, 2017","85.90","85.90","85.90","85.90","0.02K","0.47%"
"Jan 13, 2017","85.65","85.65","85.65","85.65","-","-0.29%"
"Jan 17, 2017","87.45","87.45","87.45","87.45","0.05K","2.10%"
"Jan 18, 2017","87.15","87.15","87.15","87.15","-","-0.34%"
"Jan 19, 2017","86.55","86.55","86.55","86.55","0.08K","-0.69%"
"Jan 20, 2017","86.90","86.90","86.90","86.90","-","0.40%"
"Jan 23, 2017","86.80","86.80","86.80","86.80","-","-0.12%"
"Jan 24, 2017","86.35","86.35","86.35","86.35","-","-0.52%"
"Jan 25, 2017","86.25","86.25","86.25","86.25","0.01K","-0.12%"
"Jan 26, 2017","86.05","86.05","86.05","86.05","-","-0.23%"
"Jan 30, 2017","86.25","86.25","86.25","86.25","0.06K","0.23%"
"Jan 31, 2017","87.30","87.30","87.30","87.30","0.11K","1.22%"
"Feb 01, 2017","87.30","87.30","87.30","87.30","0.09K","0.00%"
"Feb 02, 2017","87.75","87.75","87.75","87.75","0.06K","0.52%"
"Feb 03, 2017","86.45","86.45","86.45","86.45","0.02K","-1.48%"
"Feb 06, 2017","85.15","85.15","85.15","85.15","0.05K","-1.50%"
"Feb 07, 2017","84.90","84.90","84.90","84.90","0.02K","-0.29%"
"Feb 08, 2017","84.35","84.35","84.35","84.35","0.03K","-0.65%"
"Feb 09, 2017","84.35","84.35","84.35","84.35","0.02K","0.00%"
"Feb 10, 2017","84.15","84.15","84.15","84.15","0.07K","-0.24%"
"Feb 13, 2017","83.70","83.70","83.70","83.70","0.02K","-0.53%"
"Feb 14, 2017","82.85","82.85","82.85","82.85","0.02K","-1.02%"
"Feb 15, 2017","83.55","83.55","83.55","83.55","0.01K","0.84%"
"Feb 16, 2017","83.50","83.50","83.50","83.50","0.02K","-0.06%"
"Feb 17, 2017","83.45","83.45","83.45","83.45","-","-0.06%"
"Feb 21, 2017","83.65","83.65","83.65","83.65","0.02K","0.24%"
"Feb 22, 2017","83.60","83.60","83.60","83.60","-","-0.06%"
"Feb 23, 2017","83.60","83.60","83.60","83.60","-","0.00%"
"Feb 24, 2017","83.25","83.25","83.25","83.25","-","-0.42%"
"Feb 27, 2017","83.65","83.65","83.65","83.65","0.01K","0.48%"
"Feb 28, 2017","83.35","83.35","83.35","83.35","0.08K","-0.36%"
